Postcode,LDZ,Exit Zone
BD109HX,NE,NE1
BD109JB,NE,NE1
BD109JF,NE,NE1
BD109JG,NE,NE1
BD109JH,NE,NE1
BD109JJ,NE,NE1
BD109JL,NE,NE1
BD109JQ,NE,NE1
BD109JS,NE,NE1
BD109JW,NE,NE1
BD109JX,NE,NE1
BD109JY,NE,NE1
BD109JZ,NE,NE1
BD109LA,NE,NE1
BD109LB,NE,NE1
BD109LD,NE,NE1
BD109LE,NE,NE1
BD109LF,NE,NE1
BD109LG,NE,NE1
BD109LH,NE,NE1
BD109LJ,NE,NE1
BD109LL,NE,NE1
BD109LQ,NE,NE1
BD109LY,NE,NE1
BD109LZ,NE,NE1
BD109NA,NE,NE1
BD109ND,NE,NE1
BD109NE,NE,NE1
BD109NF,NE,NE1
BD109NH,NE,NE1
BD109NT,NE,NE1
BD109PA,NE,NE1
BD109PB,NE,NE1
BD109PD,NE,NE1
BD109PE,NE,NE1
BD109PF,NE,NE1
BD109PH,NE,NE1
BD109PJ,NE,NE1
BD109PL,NE,NE1
BD109PP,NE,NE1
BD109PQ,NE,NE1
BD109PR,NE,NE1
BD109PS,NE,NE1
BD109PT,NE,NE1
BD109PX,NE,NE1
BD109PY,NE,NE1
BD109QE,NE,NE1
BD109QH,NE,NE1
BD109QJ,NE,NE1
BD109QL,NE,NE1
BD109QN,NE,NE1
BD109QP,NE,NE1
BD109QQ,NE,NE1
BD109QR,NE,NE1
BD109QS,NE,NE1
BD109QT,NE,NE1
BD109QU,NE,NE1
BD109QX,NE,NE1
BD109QY,NE,NE1
BD109QZ,NE,NE1
BD109RA,NE,NE1
BD109RB,NE,NE1
BD109RD,NE,NE1
BD109RE,NE,NE1
BD109RF,NE,NE1
BD109RH,NE,NE1
BD109RJ,NE,NE1
BD109RL,NE,NE1
BD109RN,NE,NE1
BD109RP,NE,NE1
BD109RQ,NE,NE1
BD109RR,NE,NE1
BD109RS,NE,NE1
BD109RT,NE,NE1
BD109RU,NE,NE1
BD109RX,NE,NE1
BD109RY,NE,NE1
BD109SA,NE,NE1
BD109SB,NE,NE1
BD109SD,NE,NE1
BD109SE,NE,NE1
BD109SH,NE,NE1
BD109SJ,NE,NE1
BD109SL,NE,NE1
BD109SN,NE,NE1
BD109SP,NE,NE1
BD109SQ,NE,NE1
BD109SR,NE,NE1
BD109SS,NE,NE1
BD109ST,NE,NE1
BD109SU,NE,NE1
